States,NumberofQuestion
10,0.0
10,0.0
10,0.0
10,0.0
10,0.0
10,0.0
10,0.0
10,0.0
10,0.0
10,0.0
11,0.05119047619047619
11,0.05119047619047619
11,0.05119047619047619
11,0.05119047619047619
11,0.05119047619047619
11,0.052380952380952375
11,0.052380952380952375
11,0.052380952380952375
11,0.052380952380952375
11,0.052380952380952375
8,0.07631578947368421
8,0.07631578947368421
8,0.07631578947368421
8,0.07631578947368421
8,0.07631578947368421
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.07631578947368421
8,0.07631578947368421
8,0.07631578947368421
8,0.07631578947368421
8,0.07631578947368421
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.060897435897435896
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
