States,NumberofQuestion
10,0.1641025641025641
10,0.3123529411764706
10,0.17352941176470588
10,0.1489655172413793
10,0.19615384615384618
10,0.12818181818181817
10,0.30814814814814817
10,0.1225
10,0.11357142857142857
10,0.265
11,0.29642857142857143
11,0.23588039867109634
11,0.21710526315789475
11,0.06274131274131274
11,0.22796352583586627
11,0.1037037037037037
11,0.23823529411764705
11,0.10921985815602836
11,0.24574468085106382
11,0.0
8,0.21052631578947367
8,0.2402745995423341
8,0.2506265664160401
8,0.2578947368421053
8,0.20526315789473684
8,0.3875
8,0.0
8,0.04904306220095694
8,0.11656891495601172
8,0.18308080808080807
8,0.30147058823529416
8,0.2606951871657754
8,0.5459558823529411
8,0.40032679738562094
8,0.3458823529411765
8,0.2732793522267206
8,0.18859649122807015
8,0.1697792869269949
8,0.4355716878402904
8,0.17894736842105263
8,0.1396103896103896
8,0.40584415584415584
8,0.18181818181818182
8,0.42727272727272725
8,0.18716577540106952
8,0.046536796536796536
8,0.36363636363636365
8,0.20855614973262032
8,0.2792207792207792
8,0.15987460815047022
9,0.2409090909090909
9,0.22894736842105262
9,0.14021739130434782
9,0.2603658536585366
9,0.22317073170731705
9,0.28287841191067
9,0.1291208791208791
9,0.17191142191142192
9,0.048642533936651584
9,0.3782051282051282
9,0.19433198380566802
9,0.38341346153846156
9,0.13752913752913754
9,0.10607940446650124
9,0.07179487179487179
9,0.2361111111111111
9,0.24305555555555558
9,0.20833333333333334
9,0.16666666666666666
9,0.12771739130434784
9,0.20833333333333331
9,0.22393822393822393
9,0.45833333333333337
9,0.25
9,0.3267857142857143
